pillar,code,indicator,component,year,nuts_code_2021,unit,value
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES11,number,10938537
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES11,number,4793625
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES11,number,8956048
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES11,number,12645757
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES11,number,13514998
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES12,number,5778325
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES12,number,3536140
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES12,number,5005474
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES12,number,6109286
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES12,number,6672748
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES13,number,5583008
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES13,number,3085895
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES13,number,4131247
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES13,number,5585561
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES13,number,5811506
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES21,number,8142554
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES21,number,3312181
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES21,number,5860825
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES21,number,8889702
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES21,number,9726106
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES22,number,3277283
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES22,number,1548449
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES22,number,2772118
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES22,number,3726280
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES22,number,4032325
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES23,number,1639201
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES23,number,630668
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES23,number,1171925
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES23,number,1580147
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES23,number,1716159
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES24,number,8302457
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES24,number,4090680
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES24,number,6197677
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES24,number,8382110
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES24,number,8566961
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES30,number,28975266
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES30,number,9083550
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2021,ES30,number,15483416
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2022,ES30,number,26703916
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2023,ES30,number,30238007
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2019,ES41,number,11737934
Basic descriptors,TOUR_DES_01,Nights spent,Night spent,2020,ES41,number,4805007
