tourist_id,age,grupo_edad,interests,preferred_tour_duration,accessibility,site_name,sites_visited,tour_duration,route_id,tourist_rating,system_response_time,recommendation_accuracy,vr_experience_quality,satisfaction,grupo
1,48,45-59,"['Architecture', 'Art', 'History']",5,FALSE,Eiffel Tower,"['Eiffel Tower', 'Great Wall of China', 'Taj Mahal']",7,1000,1.6,3.73,97,4.5,3,Sin Accesibilidad
2,37,35-44,"['Cultural', 'Nature']",6,FALSE,Colosseum,['Great Wall of China'],1,2000,2.6,2.89,90,4.5,3,Sin Accesibilidad
3,43,35-44,"['History', 'Art', 'Architecture']",6,TRUE,Machu Picchu,['Eiffel Tower'],2,3000,1.7,2.22,94,4.7,3,Accesibilidad
4,46,45-59,"['Cultural', 'Art', 'Architecture']",8,FALSE,Colosseum,"['Machu Picchu', 'Taj Mahal']",5,4000,2,2.34,92,4.7,3,Sin Accesibilidad
5,53,45-59,"['Architecture', 'Art']",5,TRUE,Colosseum,"['Machu Picchu', 'Taj Mahal', 'Great Wall of China']",7,5000,3.7,2,96,4.8,4,Accesibilidad
6,50,45-59,"['Architecture', 'History', 'Cultural']",4,FALSE,Machu Picchu,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",4,6000,2.2,3.74,99,4.5,3,Sin Accesibilidad
7,61,60+,"['Architecture', 'History']",7,FALSE,Eiffel Tower,"['Eiffel Tower', 'Colosseum', 'Taj Mahal']",6,7000,4.1,4.66,93,4.5,4,Sin Accesibilidad
8,23,Menores de 25,"['Cultural', 'Architecture']",5,FALSE,Eiffel Tower,['Colosseum'],2,8000,2.8,4.84,91,4.9,3,Sin Accesibilidad
9,34,25-34,"['Cultural', 'Art']",5,TRUE,Colosseum,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",6,9000,4,1.54,95,4.4,4,Accesibilidad
10,61,60+,"['Nature', 'Architecture']",5,FALSE,Colosseum,"['Colosseum', 'Taj Mahal', 'Machu Picchu']",6,10000,3.8,3.59,95,4.7,4,Sin Accesibilidad
11,27,25-34,"['Nature', 'Architecture']",4,FALSE,Eiffel Tower,"['Machu Picchu', 'Colosseum', 'Taj Mahal']",6,11000,3.2,4.48,99,4.2,3,Sin Accesibilidad
12,37,35-44,['Cultural'],3,TRUE,Eiffel Tower,"['Colosseum', 'Machu Picchu']",5,12000,1.7,2.63,100,4.6,3,Accesibilidad
