flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
ANE8125, BOMBARDIER CRJ-1000,,-,IBIZA,IBZ,-,-,,,-,,,2018-04-15,18:00,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 18:01,11,21,Despejado,NT,11,2018-04-15 18:49:21,,2018-04-15 18:00:00,
IBE8480, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-16,08:55,MENORCA,MAH,1,Llegada prevista a las 08:55,12,20,Despejado,1,4,2018-04-15 18:49:18,,2018-04-16 08:55:00,
IBE8114, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,19:15,IBIZA,IBZ,1,Llegada prevista a las 19:15,12,20,Despejado,02,1,2018-04-15 18:49:12,,2018-04-15 19:15:00,
IBE8494, ATR-72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-16,08:00,MENORCA,MAH,1,Llegada prevista a las 08:00,12,20,Despejado,1,4,2018-04-15 18:49:12,,2018-04-16 08:00:00,
IBE8906, BOMBARDIER CRJ-1000,,-,ALICANTE-ELCHE,ALC,-,-,,,-,,,2018-04-15,18:15,IBIZA,IBZ,1,El vuelo ha aterrizado a las 18:24,12,20,Despejado,02,1,2018-04-15 18:49:09,,2018-04-15 18:15:00,
IBE8496, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,21:35,MENORCA,MAH,1,Llegada prevista a las 21:35,12,20,Despejado,1,4,2018-04-15 18:49:07,,2018-04-15 21:35:00,
IBE8492, ATR-42/72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,20:30,MENORCA,MAH,1,Llegada prevista a las 20:30,12,20,Despejado,1,6,2018-04-15 18:49:06,,2018-04-15 20:30:00,
IBE8128, ATR-42/72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,17:50,IBIZA,IBZ,1,El vuelo ha aterrizado a las 17:35,12,20,Despejado,02,2,2018-04-15 18:49:04,,2018-04-15 17:50:00,
ANE8905, BOMBARDIER CRJ-1000,,-,IBIZA,IBZ,-,-,,,-,,,2018-04-15,19:35,ALICANTE-ELCHE,ALC,N,Llegada prevista a las 19:35,12,25,Nubes altas,NT1,,2018-04-15 18:49:03,,2018-04-15 19:35:00,
IBE8366, CANADAIR CRJ-200,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,21:10,SANTIAGO,SCQ,T,Llegada prevista a las 21:10,10,15,Lluvia débil,B,1,2018-04-15 18:48:59,,2018-04-15 21:10:00,
IBE8386, BOMBARDIER CRJ-1000,,-,ALICANTE-ELCHE,ALC,-,-,,,-,,,2018-04-15,19:05,BILBAO,BIO,O,Llegada prevista a las 19:12,10,19,Lluvia débil,N,2,2018-04-15 18:48:57,,2018-04-15 19:05:00,
IBE8488, CANADAIR CRJ-200,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,17:35,MENORCA,MAH,1,El vuelo ha aterrizado a las 17:21,12,20,Despejado,1,4,2018-04-15 18:48:54,,2018-04-15 17:35:00,
ANE8387, BOMBARDIER CRJ-1000,,-,BILBAO,BIO,-,-,,,-,,,2018-04-15,17:15,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 17:12,12,25,Nubes altas,NT1,,2018-04-15 18:48:42,,2018-04-15 17:15:00,
IBS2237, ATR-72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-15,17:10,EL HIERRO,VDE,1,El vuelo ha aterrizado a las 17:11,14,18,Nubes altas,01,1,2018-04-15 18:48:39,,2018-04-15 17:10:00,
ANE8394, BOMBARDIER CRJ-1000,,-,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,-,,,-,,,2018-04-15,17:05,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 17:19,12,25,Nubes altas,NT1,,2018-04-15 18:48:36,,2018-04-15 17:05:00,
HTY260, AWH,,-,MALAGA-COSTA DEL SOL,AGP,-,-,,,-,,,2018-04-15,21:55,CEUTA,JCU,-,Llegada prevista a las 21:55,13,18,Nubes altas, - ,,2018-04-15 18:48:36,,2018-04-15 21:55:00,
IBE2244, ATR-72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-16,17:30,LA GOMERA,GMZ,-,Llegada prevista a las 17:30,18,24,Abertura de claros, - ,,2018-04-15 18:48:29,,2018-04-16 17:30:00,
IBE8124, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,16:40,IBIZA,IBZ,1,El vuelo ha aterrizado a las 16:31,12,20,Despejado,02,1,2018-04-15 17:47:24,,2018-04-15 16:40:00,
ANE8332, CANADAIR CRJ-200,,-,ASTURIAS,OVD,-,-,,,-,,,2018-04-15,16:20,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 15:54,11,21,Despejado,NT,5,2018-04-15 17:47:19,,2018-04-15 16:20:00,
ANE8499, ATR-42/72,,-,MENORCA,MAH,-,-,,,-,,,2018-04-15,16:15,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 16:11,11,21,Despejado,NT,2,2018-04-15 17:47:16,,2018-04-15 16:15:00,
