flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
TOM4767, BOEING 757-200  WINGLETS,2018-04-15,18:30,LANZAROTE,ACE,1,Salida prevista a las 18:30,15,25,Despejado,,1,,-,LONDRES /GATWICK,LGW,-,-,,,-,-,,2018-04-15 18:49:01,2018-04-15 18:30:00,,
TCX1703, AIRBUS A321,2018-04-15,18:20,LANZAROTE,ACE,1,Salida prevista a las 18:20,15,25,Despejado,,2,,-,BRISTOL,BRS,-,-,,,-,-,,2018-04-15 18:49:00,2018-04-15 18:20:00,,
VLG8154, 32B,2018-04-15,20:25,VALENCIA,VLC,1,Salida prevista a las 20:25,11,26,Despejado,,,,-,PARIS /ORLY,ORY,-,-,,,-,-,,2018-04-15 18:49:00,2018-04-15 20:25:00,,
TUI2255, BOEING 737-800 WINGLETS,2018-04-15,18:20,LANZAROTE,ACE,1,Salida prevista a las 18:20,15,25,Despejado,,5,,-,STUTTGART,STR,-,-,,,-,-,,2018-04-15 18:48:59,2018-04-15 18:20:00,,
RYR3153, BOEING 737-800 WINGLETS,2018-04-15,19:05,TENERIFE SUR,TFS,T,Salida prevista a las 19:07,17,23,Despejado,,5,,-,EAST MIDLANDS,EMA,-,-,,,-,-,,2018-04-15 18:48:59,2018-04-15 19:05:00,,
ENT953C, BOEING 737-800 WINGLETS,2018-04-15,19:00,TENERIFE SUR,TFS,T,Salida prevista a las 19:25,17,23,Despejado,,1,,-,PARIS /CHARLES DE GAULLE,CDG,-,-,,,-,-,,2018-04-15 18:48:58,2018-04-15 19:00:00,,
TCX1005, 32B,2018-04-15,17:55,LANZAROTE,ACE,1,Salida prevista a las 17:55,15,25,Despejado,,4,,-,LONDRES /GATWICK,LGW,-,-,,,-,-,,2018-04-15 18:48:57,2018-04-15 17:55:00,,
TUI2215, BOEING 737-800 WINGLETS,2018-04-15,18:50,TENERIFE SUR,TFS,T,Salida prevista a las 18:49,17,23,Despejado,,19,,-,BASEL /MULHOUSE,BSL,-,-,,,-,-,,2018-04-15 18:48:57,2018-04-15 18:50:00,,
EDW229, AIRBUS A320,2018-04-15,17:55,LANZAROTE,ACE,1,Salida prevista a las 17:55,15,25,Despejado,,9,,-,ZURICH,ZRH,-,-,,,-,-,,2018-04-15 18:48:56,2018-04-15 17:55:00,,
GMI1321, AIRBUS A319,2018-04-15,18:50,TENERIFE SUR,TFS,T,Salida prevista a las 18:50,17,23,Despejado,,1,,-,NUREMBERG,NUE,-,-,,,-,-,,2018-04-15 18:48:56,2018-04-15 18:50:00,,
TRA6728, BOEING 737-800 WINGLETS,2018-04-15,20:30,SEVILLA,SVQ,1,Salida prevista a las 20:30,8,19,Nubosidad variable,,6,,-,AMSTERDAM /SCHIPHOL,AMS,-,-,,,-,-,,2018-04-15 18:48:56,2018-04-15 20:30:00,,
RYR8175, BOEING 737-800 WINGLETS,2018-04-15,17:50,LANZAROTE,ACE,1,Salida prevista a las 17:55,15,25,Despejado,,7,,-,BRUSELAS /CHARLEROI,CRL,-,-,,,-,-,,2018-04-15 18:48:55,2018-04-15 17:50:00,,
TOM3747, BOEING 767-300 WINGLETS,2018-04-15,18:35,TENERIFE SUR,TFS,T,Salida prevista a las 18:35,17,23,Despejado,,23,,-,ESTOCOLMO /ARLANDA,ARN,-,-,,,-,-,,2018-04-15 18:48:55,2018-04-15 18:35:00,,
BEL3784, AIRBUS A320,2018-04-15,17:35,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 17:33,17,23,Abertura de claros,,,,-,BRUSELAS,BRU,-,-,,,-,-,,2018-04-15 18:48:55,2018-04-15 17:35:00,,
RYR2597, BOEING 737-800 WINGLETS,2018-04-15,17:50,MALAGA-COSTA DEL SOL,AGP,2,El vuelo ha despegado a las 17:44,14,23,Despejado,,,,-,TREVISO/S.ANGELO,MIL,-,-,,,-,-,,2018-04-15 18:48:55,2018-04-15 17:50:00,,
AZA091, AIRBUS A320,2018-04-15,17:50,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 18:04,14,23,Despejado,,,,-,ROMA /FIUMICINO,FCO,-,-,,,-,-,,2018-04-15 18:48:54,2018-04-15 17:50:00,,
DE1487, AIRBUS A320,2018-04-15,18:10,TENERIFE SUR,TFS,T,Salida prevista a las 18:14,17,23,Despejado,,15,,-,HANNOVER,HAJ,-,-,,,-,-,,2018-04-15 18:48:54,2018-04-15 18:10:00,,
TAP1093, ATR-42/72,2018-04-15,20:05,VALENCIA,VLC,1,Salida prevista a las 21:00,11,26,Despejado,,,,-,LISBOA,LIS,-,-,,,-,-,,2018-04-15 18:48:54,2018-04-15 20:05:00,,
TCX1913, BOEING 757-300 WINGLETS,2018-04-15,18:10,TENERIFE SUR,TFS,T,Salida prevista a las 18:24,17,23,Despejado,,9,,-,LONDRES /GATWICK,LGW,-,-,,,-,-,,2018-04-15 18:48:53,2018-04-15 18:10:00,,
TVS3423, BOEING 737-800 WINGLETS,2018-04-15,21:25,FUERTEVENTURA,FUE,1,Salida prevista a las 21:25,16,24,Despejado,,17,,-,PARIS /CHARLES DE GAULLE,CDG,-,-,,,-,-,,2018-04-15 18:48:53,2018-04-15 21:25:00,,
DE1435, BOEING 757-300 WINGLETS,2018-04-15,17:25,GRAN CANARIA,LPA,-,Salida prevista a las 17:41,17,23,Abertura de claros,,,,-,DUSSELDORF,DUS,-,-,,,-,-,,2018-04-15 18:48:53,2018-04-15 17:25:00,,
TUI2275, 7S8,2018-04-16,18:10,JEREZ DE LA FRONTERA,XRY,T,Salida prevista a las 18:10,10,18,Nubosidad variable,,6,,-,HANNOVER,HAJ,-,-,,,-,-,,2018-04-15 18:48:53,2018-04-16 18:10:00,,
TVF3169, BOEING 737-800 WINGLETS,2018-04-15,17:45,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 17:47,14,23,Despejado,,,,-,PARIS /ORLY,ORY,-,-,,,-,-,,2018-04-15 18:48:53,2018-04-15 17:45:00,,
