flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
VLG2506, 32A,2018-04-15,19:40,BILBAO,BIO,O,Salida prevista a las 19:40,10,19,Lluvia débil,,4,2018-04-15,21:00,SEVILLA,SVQ,1,Llegada prevista a las 21:00,8,19,Nubosidad variable,B,4,2018-04-15 18:49:39,2018-04-15 19:40:00,2018-04-15 21:00:00,80.0
AEA9419, ATR-72,2018-04-15,17:30,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 17:38,17,23,Abertura de claros,,,2018-04-15,18:00,TENERIFE NORTE,TFN,1,Llegada prevista a las 18:00,17,23,Despejado,1,3,2018-04-15 18:49:38,2018-04-15 17:30:00,2018-04-15 18:00:00,30.0
IBK5758, BOEING 737-800 WINGLETS,2018-04-15,15:20,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 15:47,14,22,Nubes altas,,,2018-04-15,17:50,TENERIFE NORTE,TFN,1,Llegada prevista a las 18:15,17,23,Despejado,1,4,2018-04-15 18:49:36,2018-04-15 15:20:00,2018-04-15 17:50:00,150.0
CNF765, ATR-72,2018-04-15,18:35,GRAN CANARIA,LPA,-,Salida prevista a las 18:25,17,23,Abertura de claros,,,2018-04-15,19:20,LANZAROTE,ACE,4,Llegada prevista a las 19:20,15,25,Despejado,4,,2018-04-15 18:49:35,2018-04-15 18:35:00,2018-04-15 19:20:00,45.0
CNF248, ATR-42/72,2018-04-15,17:10,EL HIERRO,VDE,1,El vuelo ha despegado a las 17:05,14,18,Nubes altas,,1,2018-04-15,17:50,TENERIFE NORTE,TFN,1,Llegada prevista a las 17:45,17,23,Despejado,1,2,2018-04-15 18:49:35,2018-04-15 17:10:00,2018-04-15 17:50:00,40.0
IBE8932, CANADAIR CRJ-200,2018-04-15,19:45,ALMERIA,LEI,1,Salida prevista a las 19:45,11,20,Despejado,,3,2018-04-15,20:45,SEVILLA,SVQ,1,Llegada prevista a las 20:45,8,19,Nubosidad variable,B,5,2018-04-15 18:49:34,2018-04-15 19:45:00,2018-04-15 20:45:00,60.0
IBB457, ATR-42/72,2018-04-15,16:50,LANZAROTE,ACE,2,El vuelo ha despegado a las 16:48,15,25,Despejado,,,2018-04-15,17:40,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 17:42,17,23,Despejado,1,3,2018-04-15 18:49:34,2018-04-15 16:50:00,2018-04-15 17:40:00,50.0
IBB474, ATR-72,2018-04-15,18:00,TENERIFE NORTE,TFN,1,Salida prevista a las 18:00,17,23,Despejado,,4,2018-04-15,18:50,LANZAROTE,ACE,4,Llegada prevista a las 18:50,15,25,Despejado,4,,2018-04-15 18:49:32,2018-04-15 18:00:00,2018-04-15 18:50:00,50.0
IBB169, ATR-72,2018-04-15,17:00,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 17:12,17,23,Abertura de claros,,,2018-04-15,17:30,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 17:43,17,23,Despejado,1,2,2018-04-15 18:49:32,2018-04-15 17:00:00,2018-04-15 17:30:00,30.0
IBB526, ATR-72,2018-04-15,18:00,GRAN CANARIA,LPA,-,Salida prevista a las 17:59,17,23,Abertura de claros,,,2018-04-15,18:45,LANZAROTE,ACE,4,Llegada prevista a las 18:45,15,25,Despejado,4,,2018-04-15 18:49:32,2018-04-15 18:00:00,2018-04-15 18:45:00,45.0
IBB617, ATR-72,2018-04-16,11:00,TENERIFE NORTE,TFN,1,Salida prevista a las 11:00,17,23,Despejado,,,2018-04-16,11:30,LA PALMA,SPC,-,Llegada prevista a las 11:30,17,23,Abertura de claros,LLNT,4,2018-04-15 18:49:32,2018-04-16 11:00:00,2018-04-16 11:30:00,30.0
IBS3948, AIRBUS A320,2018-04-15,19:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 19:40,7,17,Abertura de claros,,,2018-04-15,20:45,SEVILLA,SVQ,1,Llegada prevista a las 20:45,8,19,Nubosidad variable,A,1,2018-04-15 18:49:32,2018-04-15 19:35:00,2018-04-15 20:45:00,70.0
